,Article,Wort,Word
650,die,"Banane, -n",banana
651,die,"Bank, -en",bank
652,die,"Bank, -¨e",bench
653,die,"Barmherzigkeit, x",mercy
654,die,"Beere, -n",berry
655,die,"Begeisterung, -X",enthusiasm
656,die,"Bekannte, der Bekannter",acquaintance
657,die,"Besatzung, -en",crew (ins Gesamt)
658,die,"Besichtigung, -en",sight seeing tour
659,die,"Besprechung, -en",discussion
660,die,"Bezirksstadt, -¨e",district capital
661,die,"Birne, -n",pear
662,die,"Bohne, -n",beans
663,die,"Bohrmaschine, -n",drill
664,die,"Bordkarte, -n",bording card
665,die,"Boutique, -n",boutique
666,die,"Bremse, -n",brake
667,die,"Brezel, -n",pretzel
668,die,"Brust, -¨e","chest, breasts (pl)"
669,die,"Brücke, -n",bridge
670,die,"Buchhaltung, -x",finance office
671,die,"Buchhandlung, -en",bookstore
672,die,"Bushaltestelle, -n",bus stop
673,die,"Butter, -",butter
674,die,"Decke, -n","ceiling, bed cover"
675,die,"Digitalkamera, -s",digital camera
676,die,"Ding, -e",thing
677,die,"Disko(thek), -en",dance club
678,die,"Dose, -n",tin of something
679,die,"Dreiheit, -X",trinity
680,die,"Droge, -n",drugs
681,die,"Drogerie, -en","chemist, apotheke, drugstore"
682,die,"Dunkelheit, -en",darkness
683,die,"Durchwahl,-¨e",telephone extension
684,die,"Ecke, -n",corner
685,die,"Ehre, x",honor
686,die,"Eifersucht, x",jealousy
687,die,Einkünfte (pl),earnings
688,die,"Einsamkeit, X",loneliness
689,die,"Empfindlichkeit, x",sensitivity
690,die,"Erbse, -n",pea
691,die,"Erde, -n",earth
692,die,"Erhebung, -en","rise, ascension to power"
693,die,"Erkältung, -en","cold, cough"
694,die,"Ermutigung, -en",encouragement
695,die,"Ernährung, -X",nutrition
696,die,"Errettung, -en",salvation
697,die,"Erschöpfung, -X","exhaustion, fatigue"
698,die,"Erwachsene, -elle, -r","adult, grown up"
699,die,"Fachkraft, -¨e","skilled workers, professional workers"
700,die,"Fahrkarte, -n","train ticket, bus ticket, etc."
701,die,"Farbenpalette, -n",painters palette
702,die,"Feile, -n",file
703,die,"Fensterbank, -¨e",window sill
704,die,"Ferien, (pl)",holidays
705,die,"Fernbedienung, -en",TV remote
706,die,"Ferse, -n",heel
